country,happiness_rank,happiness_score,economy,health,freedom,generosity,corruption
Afghanistan,154,3.203,0.35,0.361,0,0.158,0.025
Albania,107,4.719,0.947,0.874,0.383,0.178,0.027
Algeria,88,5.211,1.002,0.785,0.086,0.073,0.114
Argentina,47,6.086,1.092,0.881,0.471,0.066,0.05
Armenia,116,4.559,0.85,0.815,0.283,0.095,0.064
Australia,11,7.228,1.372,1.036,0.557,0.332,0.29
Austria,10,7.246,1.376,1.016,0.532,0.244,0.226
Azerbaijan,90,5.208,1.043,0.769,0.351,0.035,0.182
Bahrain,37,6.199,1.362,0.871,0.536,0.255,0.11
Bangladesh,125,4.456,0.562,0.723,0.527,0.166,0.143
Belarus,81,5.323,1.067,0.789,0.235,0.094,0.142
Belgium,18,6.923,1.356,0.986,0.473,0.16,0.21
Benin,102,4.883,0.393,0.397,0.349,0.175,0.082
Bhutan,95,5.082,0.813,0.604,0.457,0.37,0.167
Bolivia,61,5.779,0.776,0.706,0.511,0.137,0.064
Bosnia and Herzegovina,78,5.386,0.945,0.845,0.212,0.263,0.006
Botswana,148,3.488,1.041,0.538,0.455,0.025,0.1
Brazil,32,6.3,1.004,0.802,0.39,0.099,0.086
Bulgaria,97,5.011,1.092,0.815,0.311,0.081,0.004
Burkina Faso,115,4.587,0.331,0.38,0.255,0.177,0.113
Burundi,145,3.775,0.046,0.38,0.22,0.176,0.18
Cambodia,109,4.7,0.574,0.637,0.609,0.232,0.062
Cameroon,96,5.044,0.549,0.331,0.381,0.187,0.037
Canada,9,7.278,1.365,1.039,0.584,0.285,0.308
Chad,132,4.35,0.35,0.192,0.174,0.198,0.078
Chile,26,6.444,1.159,0.92,0.357,0.187,0.056
China,93,5.191,1.029,0.893,0.521,0.058,0.1
Colombia,43,6.125,0.985,0.841,0.47,0.099,0.034
Congo (Brazzaville),103,4.812,0.673,0.508,0.372,0.105,0.093
Congo (Kinshasa),127,4.418,0.094,0.357,0.269,0.212,0.053
Costa Rica,12,7.167,1.034,0.963,0.558,0.144,0.093
Croatia,75,5.432,1.155,0.914,0.296,0.119,0.022
Cyprus,49,6.046,1.263,1.042,0.406,0.19,0.041
Czech Republic,20,6.852,1.269,0.92,0.457,0.046,0.036
Denmark,2,7.6,1.383,0.996,0.592,0.252,0.41
Dominican Republic,77,5.425,1.015,0.779,0.497,0.113,0.101
Ecuador,50,6.028,0.912,0.868,0.498,0.126,0.087
Egypt,137,4.166,0.913,0.644,0.241,0.076,0.067
El Salvador,35,6.253,0.794,0.789,0.43,0.093,0.074
Estonia,55,5.893,1.237,0.874,0.495,0.103,0.161
Ethiopia,134,4.286,0.336,0.532,0.344,0.209,0.1
Finland,1,7.769,1.34,0.986,0.596,0.153,0.393
France,24,6.592,1.324,1.045,0.436,0.111,0.183
Gabon,104,4.799,1.057,0.571,0.295,0.043,0.055
Georgia,119,4.519,0.886,0.752,0.346,0.043,0.164
Germany,17,6.985,1.373,0.987,0.495,0.261,0.265
Ghana,98,4.996,0.611,0.486,0.381,0.245,0.04
Greece,82,5.287,1.181,0.999,0.067,0,0.034
Guatemala,27,6.436,0.8,0.746,0.535,0.175,0.078
Guinea,118,4.534,0.38,0.375,0.332,0.207,0.086
Haiti,147,3.597,0.323,0.449,0.026,0.419,0.11
Honduras,59,5.86,0.642,0.828,0.507,0.246,0.078
Hong Kong,76,5.43,1.438,1.122,0.44,0.258,0.287
Hungary,62,5.758,1.201,0.828,0.199,0.081,0.02
Iceland,4,7.494,1.38,1.026,0.591,0.354,0.118
India,140,4.015,0.755,0.588,0.498,0.2,0.085
Indonesia,92,5.192,0.931,0.66,0.491,0.498,0.028
Iran,117,4.548,1.1,0.785,0.305,0.27,0.125
Iraq,126,4.437,1.043,0.574,0.241,0.148,0.089
Ireland,16,7.021,1.499,0.999,0.516,0.298,0.31
Israel,13,7.139,1.276,1.029,0.371,0.261,0.082
Italy,36,6.223,1.294,1.039,0.231,0.158,0.03
Ivory Coast,99,4.944,0.569,0.232,0.352,0.154,0.09
Jamaica,56,5.89,0.831,0.831,0.49,0.107,0.028
Japan,58,5.886,1.327,1.088,0.445,0.069,0.14
Jordan,101,4.906,0.837,0.815,0.383,0.11,0.13
Kazakhstan,60,5.809,1.173,0.729,0.41,0.146,0.096
Kenya,121,4.509,0.512,0.581,0.431,0.372,0.053
Kosovo,46,6.1,0.882,0.758,0.489,0.262,0.006
Kuwait,51,6.021,1.5,0.808,0.493,0.142,0.097
Kyrgyzstan,86,5.261,0.551,0.723,0.508,0.3,0.023
Latvia,53,5.94,1.187,0.812,0.264,0.075,0.064
Lebanon,91,5.197,0.987,0.815,0.216,0.166,0.027
Liberia,141,3.975,0.073,0.443,0.37,0.233,0.033
Libya,72,5.525,1.044,0.673,0.416,0.133,0.152
Lithuania,42,6.149,1.238,0.818,0.291,0.043,0.042
Luxembourg,14,7.09,1.609,1.012,0.526,0.194,0.316
Madagascar,143,3.933,0.274,0.555,0.148,0.169,0.041
Malawi,150,3.41,0.191,0.495,0.443,0.218,0.089
Malaysia,80,5.339,1.221,0.828,0.508,0.26,0.024
Mali,128,4.39,0.385,0.308,0.327,0.153,0.052
Malta,22,6.726,1.3,0.999,0.564,0.375,0.151
Mauritania,122,4.49,0.57,0.489,0.066,0.106,0.088
Mauritius,57,5.888,1.12,0.798,0.498,0.215,0.06
Mexico,23,6.595,1.07,0.861,0.433,0.074,0.073
Moldova,71,5.529,0.685,0.739,0.245,0.181,0
Mongolia,83,5.285,0.948,0.667,0.317,0.235,0.038
Montenegro,73,5.523,1.051,0.871,0.197,0.142,0.08
Morocco,89,5.208,0.801,0.782,0.418,0.036,0.076
Myanmar,131,4.36,0.71,0.555,0.525,0.566,0.172
Nepal,100,4.913,0.446,0.677,0.439,0.285,0.089
Netherlands,5,7.488,1.396,0.999,0.557,0.322,0.298
New Zealand,8,7.307,1.303,1.026,0.585,0.33,0.38
Nicaragua,45,6.105,0.694,0.835,0.435,0.2,0.127
Niger,114,4.628,0.138,0.366,0.318,0.188,0.102
Nigeria,85,5.265,0.696,0.245,0.426,0.215,0.041
North Cyprus,64,5.718,1.263,1.042,0.417,0.191,0.162
Norway,3,7.554,1.488,1.028,0.603,0.271,0.341
Pakistan,67,5.653,0.677,0.535,0.313,0.22,0.098
Palestinian Territories,110,4.696,0.657,0.672,0.225,0.103,0.066
Panama,31,6.321,1.149,0.91,0.516,0.109,0.054
Paraguay,63,5.743,0.855,0.777,0.514,0.184,0.08
Peru,65,5.697,0.96,0.854,0.455,0.083,0.027
Philippines,69,5.631,0.807,0.657,0.558,0.117,0.107
Poland,40,6.182,1.206,0.884,0.483,0.117,0.05
Portugal,66,5.693,1.221,0.999,0.508,0.047,0.025
Qatar,29,6.374,1.684,0.871,0.555,0.22,0.167
Romania,48,6.07,1.162,0.825,0.462,0.083,0.005
Russia,68,5.648,1.183,0.726,0.334,0.082,0.031
Rwanda,152,3.334,0.359,0.614,0.555,0.217,0.411
Saudi Arabia,28,6.375,1.403,0.795,0.439,0.08,0.132
Senegal,111,4.681,0.45,0.571,0.292,0.153,0.072
Serbia,70,5.603,1.004,0.854,0.282,0.137,0.039
Sierra Leone,129,4.374,0.268,0.242,0.309,0.252,0.045
Singapore,34,6.262,1.572,1.141,0.556,0.271,0.453
Slovakia,38,6.198,1.246,0.881,0.334,0.121,0.014
Slovenia,44,6.118,1.258,0.953,0.564,0.144,0.057
Somalia,112,4.668,0,0.268,0.559,0.243,0.27
South Africa,106,4.722,0.96,0.469,0.389,0.13,0.055
South Korea,54,5.895,1.301,1.036,0.159,0.175,0.056
Spain,30,6.354,1.286,1.062,0.362,0.153,0.079
Sri Lanka,130,4.366,0.949,0.831,0.47,0.244,0.047
Sweden,7,7.343,1.387,1.009,0.574,0.267,0.373
Switzerland,6,7.48,1.452,1.052,0.572,0.263,0.343
Syria,149,3.462,0.619,0.44,0.013,0.331,0.141
