country,happiness_rank,happiness_score,economy,health,freedom,corruption,generosity
Afghanistan,154,3.3600,0.3823,0.1734,0.1643,0.0711,0.3127
Albania,109,4.6550,0.9553,0.7301,0.3187,0.0530,0.1684
Algeria,38,6.3550,1.0527,0.6180,0.2101,0.1616,0.0704
Argentina,26,6.6500,1.1514,0.6971,0.4228,0.0730,0.1099
Armenia,121,4.3600,0.8609,0.6408,0.1404,0.0362,0.0779
Australia,9,7.3130,1.4444,0.8512,0.5684,0.3233,0.4741
Austria,12,7.1190,1.4504,0.8057,0.5436,0.2135,0.3287
Azerbaijan,81,5.2910,1.1237,0.5450,0.3533,0.1791,0.0564
Bahrain,42,6.2180,1.4402,0.6570,0.4738,0.2577,0.1715
Bangladesh,110,4.6430,0.5418,0.5299,0.3978,0.1258,0.1913
Belarus,61,5.8020,1.1306,0.6310,0.2909,0.1746,0.1394
Belgium,18,6.9290,1.4254,0.8196,0.5135,0.2625,0.2424
Benin,153,3.4840,0.3950,0.2103,0.3975,0.0668,0.2018
Bhutan,84,5.1960,0.8527,0.4976,0.4607,0.1616,0.4855
Bolivia,59,5.8220,0.7942,0.4697,0.5096,0.0775,0.2170
Bosnia and Herzegovina,87,5.1630,0.9338,0.7077,0.0951,0.0000,0.2989
Botswana,137,3.9740,1.0943,0.3475,0.4409,0.1077,0.1243
Brazil,17,6.9520,1.0875,0.6142,0.4043,0.1417,0.1578
Bulgaria,129,4.2170,1.1131,0.6781,0.2122,0.0062,0.1279
Burkina Faso,145,3.7390,0.3200,0.2130,0.3337,0.1253,0.2435
Burundi,157,2.9050,0.0683,0.1575,0.0432,0.0942,0.2029
Cambodia,140,3.9070,0.5560,0.4249,0.5885,0.0809,0.4034
Cameroon,114,4.5130,0.5250,0.1270,0.4274,0.0613,0.2268
Canada,6,7.4040,1.4402,0.8276,0.5737,0.3133,0.4483
Chad,144,3.7630,0.4221,0.0382,0.1281,0.0495,0.1867
Chile,24,6.7050,1.2167,0.8188,0.3779,0.1145,0.3160
China,83,5.2450,1.0278,0.7356,0.4401,0.0275,0.0496
Colombia,31,6.4810,1.0303,0.5966,0.4474,0.0540,0.1563
Congo (Brazzaville),127,4.2360,0.7711,0.2821,0.3794,0.0975,0.1208
Congo (Kinshasa),125,4.2720,0.0566,0.1880,0.1560,0.0608,0.2546
Costa Rica,14,7.0870,1.0688,0.7615,0.5523,0.1055,0.2255
Croatia,74,5.4880,1.1865,0.7052,0.2391,0.0400,0.1843
Cyprus,69,5.5460,1.3186,0.8488,0.2951,0.0523,0.2791
Czech Republic,27,6.5960,1.3092,0.7638,0.4142,0.0399,0.0993
Denmark,1,7.5260,1.4418,0.7950,0.5794,0.4445,0.3617
Dominican Republic,89,5.1550,1.0279,0.5767,0.5226,0.1237,0.2129
Ecuador,51,5.9760,0.9731,0.6861,0.4027,0.1804,0.1007
Egypt,120,4.3620,0.9540,0.5212,0.1885,0.1039,0.1271
El Salvador,46,6.0680,0.8737,0.5960,0.3727,0.1061,0.0888
